Unix,open,high,low,close,volume
1724716740,62864.52,63005.57,62800,62986.39,13806112.448514398
1724715840,62939,63128,62924.21,63127.25,9741836.7659794
1724714940,63115,63168,63050,63050.01,5406408.505460901
1724714040,63067.67,63072.78,62927,62927,7749105.2965253
1724713140,63000.01,63077,62891,63006.99,11202265.3485272
1724712240,62898.44,63090,62888.24,63073.51,9417585.3108367
1724711340,63127.17,63214.49,63081.25,63185,5301571.9786582
1724710440,63177.98,63280,63152.01,63228,6269416.7863211
1724709540,63184.93,63250.44,62996.01,63010.73,14513073.107425401
1724708640,63092.03,63122.04,62923,62949.61,14608899.727821998
1724707740,63019,63244.78,62838,63169.99,42826105.999644205
1724706840,63259,63423.89,63242.82,63423.79,5362662.512151101
1724705940,63436.37,63557.58,63390,63453.01,8733339.386750199
1724705040,63520.44,63537,63355,63370,6074285.104380401
1724704140,63380.27,63423,63202.71,63243.99,11200655.0401137
1724703240,63232.83,63362.84,63215.02,63305.99,10280735.416634
1724702340,63300.86,63411,63252.01,63376,13181831.619960198
1724701440,63400,63552.99,63364,63494.18,8143474.8488604
1724700540,63527.99,63650,63480.73,63599.85,9030181.4275659
1724699640,63601.1,63703,63471,63639.36,13488961.978750901
1724698740,63625.2,63682,63564,63666.06,7995881.1392103005
1724697840,63669,63702.85,63540.62,63574,16165096.2268814
1724696940,63540.8,63555.41,63211,63358,11281821.6303518
1724696040,63428.99,63507,63192.04,63416.99,21641915.7736801
1724695140,63392.93,63533,63204,63440,28727937.1011004
1724694240,63510,63878.78,63466.66,63799.99,10570250.181860799
1724693340,63739.39,63802.81,63623,63702,11203335.6981049
1724692440,63654.99,63767,63630,63673.1,11977542.6143955
1724691540,63679.99,63826,63603,63771.99,10678191.5422828
1724690640,63786.61,63800,63526,63604.46,16238171.417531202
1724689740,63564.29,63642,63450.51,63484.12,12081076.3104496
1724688840,63564.4,63647.05,63412.06,63498.99,19106120.606767304
1724687940,63546,63635,63350.98,63480.99,24139218.727008097
1724687040,63501.97,63505.96,63328,63423,11684384.3371586
1724686140,63350,63391,63061,63150.99,31371924.0192008
1724685240,63248.99,63500.61,63213,63452,14857840.928253802
1724684340,63438.69,63519.92,63250,63266.01,19551223.900073096
1724683440,63234.99,63615,63125.53,63609,46186961.3611987
1724682540,63530,63655,63242.91,63352,39352062.996196695
1724681640,63589.98,63874.34,63525.12,63771.07,20276010.561511803
1724680740,63754,63793,63500,63531.35,20923769.8207853
1724679840,63539.97,63873,63503.15,63757,21165675.8825944
1724678940,63859,63860.61,63714,63768,12132430.221345102
1724678040,63761.01,63809,63552.01,63612.99,9872685.608895099
1724677140,63641.99,63673,63464,63592.28,15640028.7490441
1724676240,63592,63814,63539,63782,13202836.7871734
1724675340,63790.96,63925.01,63760.45,63908.79,7678614.6748091
1724674440,63921.23,63958.95,63843.05,63845.01,6775488.479790798
1724673540,63872.25,63922,63846,63878,3518927.4892287
1724672640,63941.97,63985,63912.02,63984.99,7538237.315962999
1724671740,63996.77,63996.77,63846.57,63872,8303596.285658
1724670840,63859.99,63932,63739.39,63744.01,11568937.293048602
1724669940,63803.99,63963.99,63733.28,63963.82,10570898.2237906
1724669040,63982.34,64039.2,63827,63913.46,14544062.3061609
1724668140,63928,63985,63902.01,63969.99,10204817.615091298
1724667240,63953,64018.3,63820,63841,16513053.079089602
1724666340,63803.01,63875.81,63620.88,63620.89,12689901.563504199
1724665440,63620,63748.94,63220.95,63618.18,33739726.993206
1724664540,63637.31,63793,63514.65,63679,14234826.336287001
1724663640,63683,63753,63668.62,63748.7,7764866.8370212
1724662740,63717,63784.08,63665,63680.01,6120534.5989451995
1724661840,63683.99,63868,63665,63784.21,7226515.1222105
1724660940,63765.44,63844.25,63759,63785.99,6433793.4305151
1724660040,63792,63796.06,63595.39,63600.01,12807154.299525
1724659140,63624.48,63725,63607.15,63691.01,10698530.1903771
1724658240,63707,63802.87,63680.5,63771.01,9032357.9065862
1724657340,63800,63867.84,63774.06,63789.01,10761373.2723219
1724656440,63748.99,63776,63575,63706.1,16339907.402218001
1724655540,63706,63921,63420,63892.01,37568669.6640571
1724654640,63902.33,64012.92,63823.75,63850.99,22143834.232961502
1724653740,63833.96,63908.8,63816.05,63872.99,8261335.9867968
1724652840,63855.01,63977,63854,63947.01,14202989.903431403
1724651940,63950,64007.51,63941.62,63966.01,6140824.7516398
1724651040,63977,63981.82,63885.22,63906.01,6263090.2352959
1724650140,63899.99,64015.99,63885,64010.6,11280232.730384499
1724649240,64022.71,64050,63977.9,64002.01,3411045.2176671
1724648340,64009,64052,63948,64033.01,6741651.3111572005
1724647440,64036.01,64155.01,64036,64133.74,5522238.7338646
1724646540,64157,64205.31,64058,64072.72,4575312.6607646
1724645640,64090.99,64178.88,64089,64115,4043620.1403068
1724644740,64112.99,64115,64044,64059,3084346.6945572994
1724643840,64050,64121,64004,64065.01,5715111.4670586
1724642940,64090.54,64115.05,64036.67,64075.99,7416558.112501901
1724642040,64052,64094,64033,64063,6983897.843649
1724641140,64069,64071.6,63932,63936,5771744.3721249
1724640240,63972.99,64042.43,63873,63996.99,5179805.384926099
1724639340,63993,64050,63790,64015.39,13329956.089631101
1724638440,63977,63997.99,63875.15,63971,10215066.352163197
1724637540,63936.64,64045.62,63890.94,64026.99,10917013.482176702
1724636640,63983,64155.28,63968,64144,10815484.1641936
1724635740,64143.01,64196,64119,64170,6244046.029243499
1724634840,64168,64175.23,63966,64132.99,12260098.382376298
1724633940,64128,64170.59,63891,64110,18538709.2052306
1724633040,64095,64374,64089,64322.01,9767560.829613302
1724632140,64287.99,64308.2,64065,64077.01,12968320.785244301
1724631240,64274.12,64481,64105.01,64295.57,17978623.5187029
