2026-02-15T21:27:47.122Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Rynek jest w fazie RANGING, brak wyraźnych sygnałów z ensemble oraz wskaźników. MTF bias wskazuje BEARISH, ale brak aktywnych sygnałów SELL. RSI jest neutralne (51.6). Nie ma wystarczających przesłanek do otwarcia pozycji.
2026-02-15T21:30:21.893Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime is RANGING with no clear trend direction. Ensemble votes are majority HOLD (73.2%) with only 26.8% SELL and no BUY signals. MTF bias is BEARISH with a strong negative score (-83), but the RSI is neutral (52.5), indicating no immediate overbought or oversold conditions. Current market conditions do not justify opening a position.
2026-02-15T21:35:28.583Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime wskazuje na RANGING, MTF bias jest BEARISH z silnym negatywnym score (-83), ale RSI jest neutralne (53.0). Ensemble votes są w większości na HOLD (73.2%), a SELL (26.8%) nie osiąga wystarczającego poziomu pewności. Brak wyraźnego sygnału do otwarcia pozycji.
2026-02-15T21:40:34.628Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime is RANGING with a BEARISH bias and MTF score of -83. Ensemble votes are predominantly HOLD (73.2%) with a moderate SELL signal (26.8%). RSI is neutral at 52.4, indicating no strong momentum. No clear opportunity for a high-confidence trade.
2026-02-15T21:45:10.797Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime wskazuje na RANGING, MTF bias jest BEARISH z wysokim negatywnym score (-81), ale brak wyraźnego konsensusu w votes (43.6% SELL, 56.4% HOLD). RSI na neutralnym poziomie 54.3, co nie wskazuje na silny sygnał sprzedaży. W obecnej sytuacji brak wystarczającej pewności do otwarcia pozycji.
2026-02-15T21:50:16.981Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime jest RANGING, MTF bias jest BEARISH z niskim score (-83), a votes nie osiągnęły progu decyzyjnego (SELL 14.5%, poniżej 15%). RSI wskazuje neutralność (55.4). Brak wyraźnego sygnału do otwarcia pozycji.
2026-02-15T21:55:22.462Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime jest RANGING, MTF bias wskazuje na BEARISH z wyraźnym negatywnym score (-79), ale ensemble votes są zdecydowanie skoncentrowane na HOLD (85.5%). RSI na poziomie 57.5 wskazuje na neutralność. Nie ma wystarczających sygnałów do otwarcia pozycji SHORT. Drawdown wynosi 0%, więc nie ma presji na konserwatywne podejście, ale brak wyraźnych sygnałów wymaga ostrożności.
2026-02-15T22:00:27.735Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime jest RANGING, MTF bias wskazuje na silny BEARISH (-79), ale ensemble votes są zdominowane przez HOLD (85.5%). RSI jest neutralne (54.5), a brak wyraźnego sygnału SELL uniemożliwia otwarcie pozycji. Brak pozycji w portfelu oraz zerowy drawdown pozwalają na konserwatywne podejście.
2026-02-15T22:05:32.897Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime is RANGING, MTF bias is strongly bearish (-54), ensemble votes lack consensus, and RSI is neutral (55.3). Current drawdown is 0.0%, but realized PnL is negative, suggesting caution.
2026-02-15T22:10:38.732Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime jest RANGING, MTF bias wskazuje na silny BEARISH (-54), a ensemble votes są rozproszone z dominacją HOLD (73.2%). RSI na poziomie 55.1 nie daje jednoznacznego sygnału. Nie widzę wystarczającej pewności do otwarcia pozycji.
2026-02-15T22:15:13.809Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime jest RANGING, MTF bias wskazuje na silny BEARISH (-83), ale ensemble votes są skoncentrowane na HOLD (85.5%) z niewystarczającym wsparciem dla SELL (14.5%). RSI na poziomie 61 wskazuje na neutralność. Brak wyraźnej przewagi dla otwarcia pozycji.
2026-02-15T22:20:19.133Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime RANGING oraz niski poziom SELL votes (14.5%) wskazują na brak wyraźnego momentum. MTF bias jest silnie BEARISH, ale nie ma wystarczającego wsparcia ze strony sygnałów, aby otworzyć pozycję SHORT.
2026-02-15T22:25:24.227Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime RANGING, MTF bias strongly bearish (-51), ensemble votes predominantly HOLD (75.5%) with no SELL signals. RSI indicates overbought conditions (63.6), suggesting caution.
2026-02-15T22:30:29.068Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime jest RANGING, MTF bias wskazuje na silny BEARISH (-51), a wszystkie strategie w ensemble głosują na HOLD. RSI na poziomie 73.2 sugeruje potencjalne wykupienie, ale brak sygnałów SELL lub BUY uniemożliwia otwarcie pozycji.
2026-02-15T22:35:34.318Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime RANGING, brak wyraźnych sygnałów z ensemble, MTF bias BEARISH z niskim score (-51), RSI wskazuje na możliwe wykupienie rynku. Nie ma wystarczających przesłanek do otwarcia pozycji.
2026-02-15T22:40:38.782Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime is RANGING, MTF bias is strongly bearish with a score of -51, and all ensemble votes are unanimously HOLD. No clear signal for entry.
2026-02-15T22:45:13.713Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime jest RANGING, MTF bias wskazuje na silny BEARISH (-51), a ensemble votes nie daje jednoznacznego sygnału. RSI na poziomie 64.9 sugeruje brak wyraźnego wyprzedania lub wykupienia. Brak wyraźnej przewagi w kierunku otwarcia pozycji.
2026-02-15T22:50:18.549Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime is RANGING with a bearish bias (-51 MTF score). Ensemble votes are heavily skewed towards HOLD (70.9%), and RSI is relatively high (65.2), indicating potential overbought conditions. No strong consensus for BUY or SELL, and no compelling signals to override.
2026-02-15T22:55:23.765Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime is RANGING with a bearish MTF bias and a negative score (-51). Ensemble votes are inconclusive with a majority HOLD recommendation. RSI indicates overbought conditions (65.0), suggesting caution. No compelling signals to open a position.
2026-02-15T23:00:29.007Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime jest RANGING, MTF BIAS wskazuje na silny BEARISH (-53), a RSI jest wysoki (78.4), co sugeruje potencjalne wykupienie. Ensemble votes jednoznacznie wskazuje na HOLD, brak sygnałów do otwarcia pozycji.
2026-02-15T23:05:34.341Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime jest RANGING, MTF bias jest zdecydowanie BEARISH z wysokim negatywnym score (-86), ale ensemble votes są sprzeczne, a RSI wskazuje neutralność (59.8). Nie ma wystarczającej zgodności ani silnego sygnału do otwarcia pozycji.
2026-02-15T23:10:39.634Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime is RANGING with no clear directional bias. Ensemble votes are conflicting, and MTF bias is strongly bearish (-86), but no consensus for a strong SELL signal. RSI is neutral at 58.1, suggesting no immediate overbought or oversold conditions. Portfolio drawdown is 0%, allowing for cautious observation.
2026-02-15T23:15:15.808Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime RANGING z wysokim poziomem niepewności w votes ensemble (BUY: 29.1%, SELL: 38.2%, HOLD: 32.7%). MTF BIAS wskazuje na BEARISH z silnym negatywnym score (-86), ale RSI na poziomie 55.3 nie potwierdza wyraźnej przewagi sprzedających. Brak konsensusu w sygnałach oraz neutralny stan portfolio (brak pozycji, brak drawdownu) sugeruje ostrożność.
2026-02-15T23:20:21.578Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime jest RANGING, MTF bias wskazuje na silny BEARISH (-86), ale ensemble votes są sprzeczne (BUY: 29.1%, SELL: 25.9%, HOLD: 45.0%). RSI na poziomie 56.9 nie wskazuje na wyraźne wyprzedanie ani wykupienie. Brak jednoznacznego sygnału do otwarcia pozycji.
2026-02-15T23:25:27.473Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime jest RANGING, MTF bias wskazuje na silną BEARISH tendencję, ale ensemble votes są rozbieżne. RSI na poziomie 58.1 nie wskazuje na wyraźne wyprzedanie ani wykupienie. Brak konsensusu i brak wyraźnej przewagi w kierunku SELL lub BUY.
2026-02-15T23:30:32.806Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime is RANGING with bearish MTF bias and no strong consensus among ensemble votes. RSI is neutral, and there is no clear signal to open a position.
2026-02-15T23:35:38.352Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime is RANGING, MTF bias is strongly bearish with a score of -83, but ensemble votes are mixed with no clear consensus. RSI is neutral at 57.5, and there is no urgent signal to act. Current drawdown is 0%, allowing for cautious observation.
2026-02-15T23:40:44.112Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime jest RANGING, MTF bias wskazuje na silny BEARISH (-86), ale ensemble votes są sprzeczne (BUY: 29.1%, SELL: 14.5%, HOLD: 56.4%). RSI na poziomie 54.4 nie wskazuje na wyraźne wyprzedanie ani wykupienie. Brak jednoznacznych sygnałów do otwarcia pozycji.
2026-02-15T23:45:19.265Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime is RANGING with bearish bias and MTF score is significantly negative (-83). Ensemble votes are predominantly HOLD (85.5%) with weak SELL signal (14.5%). RSI is neutral at 56.2, indicating no strong overbought or oversold conditions. Current market conditions do not justify opening a position.
2026-02-15T23:50:25.933Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime is RANGING, MTF bias is strongly bearish (-83), but ensemble votes and indicators suggest indecision with majority HOLD votes (85.5%) and RSI neutral at 57.8. No strong signal for a decisive move.
2026-02-15T23:55:31.353Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime is RANGING with MTF bias strongly BEARISH (-83 score). Ensemble votes do not show strong consensus for SELL (only 14.5%). RSI is neutral at 58.9, indicating no clear overbought or oversold conditions. Current drawdown is 0%, so no urgency to act.
2026-02-16T00:00:06.949Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime is RANGING with bearish bias and low SELL votes (14.5%). Ensemble predominantly suggests HOLD. No strong conviction for SHORT due to lack of consensus and RSI not signaling overbought conditions.
